MeanRR,SDNN,Label
0.8747,0.0323,0
0.8581,0.0531,0
0.9266,0.0448,0
0.8986,0.0294,0
0.9182,0.0968,0
0.9028,0.041,0
0.897,0.0477,0
0.9135,0.0226,0
0.9495,0.1366,0
0.8977,0.0337,0
0.9222,0.1283,0
0.8884,0.0732,0
0.9429,0.062,0
0.961,0.1044,0
0.9499,0.0303,0
0.9353,0.0477,0
0.8198,0.1148,0
0.9013,0.0675,0
0.9655,0.0528,0
0.9568,0.0705,0
0.9668,0.0383,0
0.9326,0.054,0
0.9529,0.0727,0
0.9771,0.0673,0
0.9589,0.0376,0
0.9051,0.0949,0
0.9387,0.2478,0
0.955,0.2175,0
0.9647,0.1826,0
0.976,0.2085,0
0.9823,0.1537,0
0.9349,0.1205,0
0.9645,0.1983,0
0.9291,0.1715,0
1.0272,0.1671,0
0.9653,0.1081,0
0.9628,0.2032,0
1.0262,0.0221,0
0.8734,0.1484,0
1.0496,0.3067,0
0.9814,0.18,0
0.9677,0.1763,0
0.9152,0.1126,0
0.9963,0.1422,0
0.9951,0.0843,0
0.9957,0.201,0
1.1381,0.3071,0
0.9834,0.2051,0
1.0289,0.017,0
1.014,0.1085,0
0.9818,0.1754,0
1.0399,0.0699,0
1.063,0.032,0
1.0588,0.0394,0
1.0473,0.1507,0
1.0065,0.0704,0
0.8617,0.1513,0
0.9816,0.2414,0
0.9507,0.1856,0
0.9975,0.2386,0
0.9373,0.1551,0
0.9493,0.1552,0
1.0114,0.1266,0
0.963,0.0679,0
0.9896,0.0757,0
1.0191,0.0233,0
1.0096,0.0318,0
0.9919,0.0649,0
1.0308,0.0571,0
1.0197,0.0568,0
1.0181,0.0409,0
1.0099,0.0585,0
1.0209,0.0505,0
0.9947,0.0325,0
1.0121,0.063,0
1.0135,0.0238,0
1.0069,0.0624,0
1.0192,0.0232,0
1.0057,0.0957,0
1.0143,0.0443,0
1.0051,0.066,0
1.0123,0.0288,0
1.0036,0.025,0
1.0066,0.0315,0
0.9951,0.0445,0
0.9868,0.0362,0
1.0024,0.0196,0
1.0079,0.0324,0
0.9869,0.0283,0
0.9768,0.0559,0
0.9896,0.0258,0
0.9809,0.0203,0
0.9792,0.0558,0
0.9788,0.0256,0
0.9788,0.0567,0
0.9764,0.0222,0
0.9866,0.0392,0
0.9827,0.0221,0
0.9755,0.0222,0
0.9645,0.0361,0
0.9782,0.244,0
0.8415,0.2068,0
0.9681,0.0992,0
1.0003,0.1263,0
0.9822,0.0198,0
0.9659,0.0613,0
0.9764,0.0223,0
0.9804,0.1768,0
0.9366,0.2268,0
0.918,0.1592,0
0.9662,0.1559,0
0.9876,0.1402,0
1.0087,0.1324,0
0.9547,0.1068,0
1.0233,0.0201,0
1.0106,0.1402,0
0.8501,0.1895,0
0.9567,0.1418,0
1.0121,0.1057,0
1.0291,0.0187,0
1.0451,0.0211,0
1.0166,0.0651,0
0.9695,0.1516,0
0.898,0.1902,0
1.0176,0.1505,0
0.9161,0.1616,0
0.9076,0.1349,0
1.0242,0.1534,0
0.9893,0.2087,0
0.9989,0.0832,0
1.0444,0.1334,0
1.0084,0.0425,0
1.0402,0.0226,0
1.0377,0.0689,0
1.0329,0.136,0
1.0518,0.1903,0
0.9832,0.0675,0
1.0343,0.0557,0
1.0483,0.0441,0
1.0465,0.0605,0
1.1013,0.0248,0
1.0695,0.078,0
1.075,0.0387,0
1.0922,0.0283,0
1.0502,0.097,0
1.0579,0.0271,0
1.0319,0.0312,0
1.0282,0.0258,0
1.0185,0.038,0
1.0258,0.0364,0
1.027,0.0548,0
1.0209,0.0607,0
1.0114,0.0694,0
1.0139,0.0284,0
0.9982,0.1911,0
1.0331,0.0759,0
1.0581,0.0429,0
1.0201,0.0656,0
1.0224,0.0352,0
1.0007,0.0661,0
1.0519,0.0822,0
1.011,0.0655,0
1.0145,0.0369,0
1.0303,0.0288,0
1.0171,0.0284,0
1.0213,0.0326,0
1.0464,0.0887,0
0.9977,0.0706,0
1.0033,0.0216,0
0.9848,0.0606,0
1.0181,0.0297,0
1.0038,0.0254,0
0.9917,0.0501,0
0.967,0.0618,0
0.9803,0.0295,0
0.9675,0.0223,0
0.9736,0.0299,0
0.9753,0.0222,0
0.9516,0.0254,0
0.9813,0.0284,0
0.965,0.0249,0
0.9807,0.0221,0
0.9522,0.0297,0
0.9468,0.0285,0
0.9526,0.0208,0
0.9477,0.0387,0
0.9394,0.2707,0
1.0648,0.2391,0
0.9955,0.1852,0
1.092,0.24,0
0.9898,0.2096,0
1.0425,0.2342,0
1.1348,0.2336,0
1.043,0.274,0
1.1435,0.2771,0
1.2019,0.2533,0
1.1708,0.2626,0
1.0241,0.2278,0
0.9175,0.2297,0
1.0203,0.2238,0
1.0688,0.2347,0
1.173,0.2128,0
1.0894,0.2259,0
1.152,0.1872,0
1.0074,0.2159,0
1.0203,0.2332,0
1.0835,0.2085,0
1.0298,0.1996,0
1.025,0.1535,0
1.0195,0.1945,0
1.0176,0.168,0
0.9983,0.1622,0
1.0822,0.2116,0
1.0117,0.228,0
1.0706,0.2073,0
1.1035,0.2892,0
0.9032,0.2049,0
0.7907,0.1767,0
0.8759,0.1958,0
0.9485,0.1747,0
0.842,0.0587,0
0.8687,0.0648,0
0.893,0.0593,0
0.842,0.1098,0
1.057,0.247,0
1.0038,0.2122,0
1.0664,0.1825,0
1.0272,0.2083,0
1.1158,0.2301,0
0.9627,0.2444,0
1.0645,0.2389,0
1.1079,0.2525,0
1.0931,0.2358,0
1.0605,0.2111,0
1.042,0.2551,0
1.009,0.2272,0
1.1033,0.2783,0
1.1056,0.2532,0
1.0282,0.2942,0
0.9244,0.2474,0
